area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name
Buduruwagala,151E,1875,189,184,133,157,156,174,155,125,111,145,112,73,55,38,28,15,13,7,4,1,Monaragala,Buduruwagala,buduruwagala,Buduruwagala,Buduruwagala,1,1,AUTO_MATCH_OK,
Andawelayaya,151F,2121,211,188,184,174,139,200,175,152,140,138,110,111,79,54,33,20,7,2,4,0,Monaragala,Andawelayaya,andawelayaya,Andawelayaya,Andawelayaya,1,1,AUTO_MATCH_OK,
Siripuragama,150I,1640,190,162,122,115,126,171,158,117,81,74,75,87,75,39,27,12,3,4,0,2,Monaragala,Siripuragama,siripuragama,Siripuragama,Siripuragama,1,1,AUTO_MATCH_OK,
Veherayaya Colony,150H,2444,237,217,181,191,160,205,202,167,161,132,146,155,93,62,36,34,42,14,9,0,Monaragala,Veherayaya Colony,veherayaya colony,Veherayaya Colony,Veherayaya Colony,1,1,AUTO_MATCH_OK,
Veherayaya,150C,2033,202,183,181,129,143,179,169,177,139,105,100,94,82,54,39,30,16,8,1,2,Monaragala,Veherayaya,veherayaya,Veherayaya,Veherayaya,1,1,AUTO_MATCH_OK,
Randenigodayaya,150E,1419,169,127,107,92,106,133,147,112,81,65,84,69,60,28,13,14,8,2,1,1,Monaragala,Randenigodayaya,randenigodayaya,Randenigodayaya,Randenigodayaya,1,1,AUTO_MATCH_OK,
Handapanagala,150B,1319,114,119,97,89,97,104,104,117,87,90,75,55,57,45,24,20,15,7,2,1,Monaragala,Handapanagala,handapanagala,Handapanagala,Handapanagala,1,1,AUTO_MATCH_OK,
Maha Aragama,150G,1614,148,178,144,143,158,124,142,98,121,99,99,59,50,25,12,4,5,4,1,0,Monaragala,Maha Aragama,maha aragama,,,1,,UNMATCHED,Maha Aragama
Thelulla Colony,150K,2956,300,311,260,220,177,203,252,237,239,180,175,123,98,72,53,37,14,3,1,1,Monaragala,Thelulla Colony,thelulla colony,Thelulla Colony,Thelulla Colony,1,1,AUTO_MATCH_OK,
Ethiliwewa,150J,2236,245,184,192,183,183,212,187,159,134,139,135,98,76,56,27,18,5,3,0,0,Monaragala,Ethiliwewa,ethiliwewa,Ethiliwewa,Ethiliwewa,1,1,AUTO_MATCH_OK,
Thelulla,150,1186,100,114,97,95,79,98,104,87,84,74,74,62,44,31,13,12,11,5,1,1,Monaragala,Thelulla,thelulla,Thelulla,Thelulla,1,1,AUTO_MATCH_OK,
Balaharuwa,150A,2637,286,243,216,186,197,238,228,184,191,173,161,117,95,41,33,22,14,6,5,1,Monaragala,Balaharuwa,balaharuwa,Balaharuwa,Balaharuwa,1,1,AUTO_MATCH_OK,
Debara Ara,150L,1337,151,130,112,110,119,112,128,101,77,72,74,52,45,24,14,11,4,1,0,0,Monaragala,Debara Ara,debara ara,,,1,,UNMATCHED,Debara Ara
Kithulkote,150M,2265,212,196,205,217,232,204,182,150,127,108,169,109,69,31,17,17,13,4,3,0,Monaragala,Kithulkote,kithulkote,Kithulkote,Kithulkote,1,1,AUTO_MATCH_OK,
Uva Kudaoya,150D,2170,211,210,183,205,173,192,173,139,148,140,117,110,71,38,19,17,17,4,1,2,Monaragala,Uva Kudaoya,uva kudaoya,Uva Kudaoya,Uva Kudaoya,1,1,AUTO_MATCH_OK,
Uda Arawa,143/2,1178,114,112,107,90,93,101,103,82,78,79,74,49,39,26,13,10,3,3,0,2,Monaragala,Uda Arawa,uda arawa,Uda Arawa,Uda Arawa,1,1,AUTO_MATCH_OK,
Horabokka,143/1,1637,133,149,122,160,107,123,132,114,123,102,106,90,61,43,25,26,15,3,2,1,Monaragala,Horabokka,horabokka,Horabokka,Horabokka,1,1,AUTO_MATCH_OK,
Unawatuna,140/A/1,2818,286,251,226,261,257,257,263,218,201,159,137,118,72,41,28,25,9,7,1,1,Monaragala,Unawatuna,unawatuna,Unawatuna,Unawatuna,1,1,AUTO_MATCH_OK,
Yudaganawa,140A,2220,209,202,172,165,161,188,195,165,152,145,132,126,71,47,39,30,13,4,3,1,Monaragala,Yudaganawa,yudaganawa,Yudaganawa,Yudaganawa,1,1,AUTO_MATCH_OK,
Dikyaya,140/3,2069,178,182,160,179,192,201,183,156,145,130,109,109,75,28,25,8,6,2,1,0,Monaragala,Dikyaya,dikyaya,Dikyaya,Dikyaya,1,1,AUTO_MATCH_OK,
Udagama,140,2245,199,208,172,179,155,209,200,182,170,177,127,79,72,43,22,32,14,4,1,0,Monaragala,Udagama,udagama,Udagama,Udagama,1,1,AUTO_MATCH_OK,
Mahagodayaya,140/2,2019,198,201,159,189,175,191,156,111,134,123,126,97,55,42,31,16,12,1,1,1,Monaragala,Mahagodayaya,mahagodayaya,Mahagodayaya,Mahagodayaya,1,1,AUTO_MATCH_OK,
Gaminipura,145B,1892,194,154,148,171,162,155,133,123,152,123,111,95,71,43,24,17,10,4,1,1,Monaragala,Gaminipura,gaminipura,Gaminipura,Gaminipura,1,1,AUTO_MATCH_OK,
Okkampitiya,145,1513,117,129,120,130,115,116,109,129,122,98,97,77,71,32,28,13,3,4,2,1,Monaragala,Okkampitiya,okkampitiya,Okkampitiya,Okkampitiya,1,1,AUTO_MATCH_OK,
Galtemmandiya,145/B/1,1342,135,127,114,129,107,92,92,100,101,100,71,50,39,32,24,19,7,3,0,0,Monaragala,Galtemmandiya,galtemmandiya,Galtemmandiya,Galtemmandiya,1,1,AUTO_MATCH_OK,
Ulugala,145/A/1,1872,151,150,137,134,180,175,158,121,123,135,102,92,92,57,29,16,9,5,5,1,Monaragala,Ulugala,ulugala,Ulugala,Ulugala,1,1,AUTO_MATCH_OK,
Maligavila,145A,2282,211,218,166,187,200,186,186,154,154,150,169,116,89,43,28,17,6,1,1,0,Monaragala,Maligavila,maligavila,Maligavila,Maligavila,1,1,AUTO_MATCH_OK,
Minipuragama,145/A/2,675,67,66,59,48,58,49,65,52,33,53,32,21,24,22,11,10,3,0,0,2,Monaragala,Minipuragama,minipuragama,Minipuragama,Minipuragama,1,1,AUTO_MATCH_OK,
Buruthagolla,145/B/2,1662,149,120,112,148,195,167,119,100,99,100,127,80,65,30,25,16,5,4,0,1,Monaragala,Buruthagolla,buruthagolla,Buruthagolla,Buruthagolla,1,1,AUTO_MATCH_OK,
Pahalagama,145/1,1950,184,128,138,193,220,181,134,104,125,146,125,105,68,31,26,25,11,4,2,0,Monaragala,Pahalagama,pahalagama,Pahalagama,Pahalagama,1,1,AUTO_MATCH_OK,
Konketiya,142A,2185,208,168,155,191,209,209,195,127,117,147,142,137,81,41,28,15,8,5,2,0,Monaragala,Konketiya,konketiya,Konketiya,Konketiya,1,1,AUTO_MATCH_OK,
Medagama,142,1654,143,122,101,141,138,167,134,127,89,121,109,94,62,33,29,29,7,5,1,2,Monaragala,Medagama,medagama,,,2,,UNMATCHED,Medagama
Pettagamwela,140/1,1351,116,131,111,121,95,97,102,112,113,84,72,67,54,30,18,13,9,5,1,0,Monaragala,Pettagamwela,pettagamwela,Pettagamwela,Pettagamwela,1,1,AUTO_MATCH_OK,
Puhulkotuwa,142/3,2362,227,212,180,194,155,211,207,169,170,159,131,88,92,67,40,27,15,8,9,1,Monaragala,Puhulkotuwa,puhulkotuwa,Puhulkotuwa,Puhulkotuwa,1,1,AUTO_MATCH_OK,
Veheragala,140/B/1,1247,105,118,100,120,94,105,87,91,81,89,80,68,50,26,15,8,5,2,3,0,Monaragala,Veheragala,veheragala,,,2,,UNMATCHED,Veheragala
Pelwatta,143,2782,248,273,240,246,240,225,241,203,200,171,140,134,81,61,40,22,8,7,2,0,Monaragala,Pelwatta,pelwatta,Pelwatta,Pelwatta,1,1,AUTO_MATCH_OK,
Mahasenpura,143/A/1,1889,176,175,126,164,159,149,175,152,126,128,114,82,59,40,31,20,10,3,0,0,Monaragala,Mahasenpura,mahasenpura,Mahasenpura,Mahasenpura,1,1,AUTO_MATCH_OK,
Kumaragama,143/A/2,1510,128,167,133,154,138,118,112,86,103,117,102,67,38,24,8,10,3,2,0,0,Monaragala,Kumaragama,kumaragama,Kumaragama,Kumaragama,1,1,AUTO_MATCH_OK,
Kukurampola,143A,1846,176,174,129,141,147,169,154,142,129,121,111,91,62,44,22,19,10,4,1,0,Monaragala,Kukurampola,kukurampola,Kukurampola,Kukurampola,1,1,AUTO_MATCH_OK,
Kumarapura,140B,1642,128,146,158,155,97,116,154,110,150,156,161,45,25,17,8,7,6,3,0,0,Monaragala,Kumarapura,kumarapura,Kumarapura,Kumarapura,1,1,AUTO_MATCH_OK,
Yatiyallathota,142/2,1278,111,102,85,129,111,113,126,86,71,87,79,70,60,21,13,8,4,1,0,1,Monaragala,Yatiyallathota,yatiyallathota,Yatiyallathota,Yatiyallathota,1,1,AUTO_MATCH_OK,
Waguruwela,142/1,1887,150,156,150,175,152,143,158,143,126,115,136,96,58,47,36,20,14,9,0,3,Monaragala,Waguruwela,waguruwela,Waguruwela,Waguruwela,1,1,AUTO_MATCH_OK,
Gonagan Ara,142B,1788,168,139,121,196,170,178,160,112,110,108,102,82,58,33,27,14,7,2,0,1,Monaragala,Gonagan Ara,gonagan ara,Gonagan Ara,Gonagan Ara,1,1,AUTO_MATCH_OK,
Rahathangama,143/A/3,2289,205,201,204,199,179,205,193,156,133,174,166,133,64,42,13,11,5,2,0,4,Monaragala,Rahathangama,rahathangama,Rahathangama,Rahathangama,1,1,AUTO_MATCH_OK,
Sella Katharagama,146A,1924,178,176,171,179,175,190,153,123,103,120,105,90,56,53,23,14,5,4,2,4,Monaragala,Sella Katharagama,sella katharagama,Sella Katharagama,Sella Katharagama,1,1,AUTO_MATCH_OK,
Katharagama,146,3364,322,355,320,353,301,288,260,203,208,169,163,123,139,58,55,28,14,2,2,1,Monaragala,Katharagama,katharagama,Katharagama,Katharagama,1,1,AUTO_MATCH_OK,
Detagamuwa,146B,4777,401,347,354,374,392,444,438,330,316,306,310,253,185,127,84,63,30,16,5,2,Monaragala,Detagamuwa,detagamuwa,Detagamuwa,Detagamuwa,1,1,AUTO_MATCH_OK,
Kandasurindugama,146C,4031,388,384,312,346,338,338,329,267,254,247,263,151,149,87,80,56,28,9,3,2,Monaragala,Kandasurindugama,kandasurindugama,Kandasurindugama,Kandasurindugama,1,1,AUTO_MATCH_OK,
Karavile,146D,4124,391,423,336,351,294,320,362,301,268,275,244,176,161,86,62,42,22,7,2,1,Monaragala,Karavile,karavile,Karavile,Karavile,1,1,AUTO_MATCH_OK,
Kandiyapitawewa,149C/1,2406,227,203,170,171,174,213,208,166,158,159,165,141,117,62,33,26,10,2,1,0,Monaragala,Kandiyapitawewa,kandiyapitawewa,Kandiyapitawewa,Kandiyapitawewa,1,1,AUTO_MATCH_OK,
Kotavehera Mankada,149C,2854,261,254,201,191,240,252,275,177,163,174,167,189,139,75,36,34,15,6,5,0,Monaragala,Kotavehera Mankada,kotavehera mankada,Kotavehera Mankada,Kotavehera Mankada,1,1,AUTO_MATCH_OK,
Aluthwewa,149D,2159,231,203,179,179,191,223,185,166,141,118,102,100,66,22,22,24,4,1,2,0,Monaragala,Aluthwewa,aluthwewa,Aluthwewa,Aluthwewa,1,1,AUTO_MATCH_OK,
Hambegamuwa,149,2429,226,210,177,219,207,242,189,180,187,164,136,115,63,52,25,19,8,7,2,1,Monaragala,Hambegamuwa,hambegamuwa,Hambegamuwa,Hambegamuwa,1,1,AUTO_MATCH_OK,
Hambegamuwa Colony,149/1,1979,198,179,169,161,155,150,202,150,133,143,96,74,58,44,35,13,12,5,1,1,Monaragala,Hambegamuwa Colony,hambegamuwa colony,Hambegamuwa Colony,Hambegamuwa Colony,1,1,AUTO_MATCH_OK,
Kahakurullan Pelessa,149/2,1660,157,166,152,161,151,131,106,117,117,122,114,78,40,19,8,11,6,3,0,1,Monaragala,Kahakurullan Pelessa,kahakurullan pelessa,Kahakurullan Pelessa,Kahakurullan Pelessa,1,1,AUTO_MATCH_OK,
Mahawewa,148A,1087,94,90,101,73,76,86,69,77,84,75,84,56,44,22,23,20,4,4,3,2,Monaragala,Mahawewa,mahawewa,Mahawewa,Mahawewa,1,1,AUTO_MATCH_OK,
Sooriyaara,148,2212,205,160,212,196,179,195,140,126,157,176,163,130,72,38,21,21,9,8,1,3,Monaragala,Sooriyaara,sooriyaara,Sooriyaara,Sooriyaara,1,1,AUTO_MATCH_OK,
Usgala,148B,914,91,74,79,72,76,96,72,58,60,66,43,45,40,17,7,8,6,2,2,0,Monaragala,Usgala,usgala,Usgala,Usgala,1,1,AUTO_MATCH_OK,
