Name,Edu_Count,Health_Count
Panakanniya,0,0
Pangaragammana,0,2
Panguwa,0,0
Panketiya,0,0
Pannalagama,0,0
Pannalawela,1,0
Paramahankada,0,0
Paranagama,0,0
Passara Town East,0,0
Passara Town North,0,0
Passara Town South,1,0
Pathanegedara,0,0
Pattipola,0,0
Peessagama,0,0
Pelgahathenna,0,0
Pelwatta,0,0
Perahettiya,0,0
Perakumpura,0,0
Perawella,0,0
Pethiyagoda,0,0
Pettagamwela,0,1
Pinnagolla,0,0
Pitadeniya,0,0
Pitakumbura,0,0
Pitamaruwa,0,0
Pitapola,0,0
Pitarathmale,0,0
Pitawelagama,0,0
Pitiyakumbura,0,0
Piyarapandowa,0,0
Polgaha Arawa,0,0
Polgahagama,0,0
Polgahapitiya,0,0
Polwatta,0,0
Poojanagaraya,0,2
Poonagala,0,0
Pothubandhana,0,0
Pubbara,1,0
Pubuduwewa,0,0
Puhulkotuwa,0,1
Puhulpola,0,0
Puhulwatta,0,0
Punchiwewa,0,0
Punsisigama,0,0
Pupula,0,0
Pupula West,0,0
Puranwela,0,0
Pussellakanda,0,0
Pussellawa,1,0
Radaliyadda,0,0
Rahangala,1,0
Rahathangama,0,0
Rahupola,0,0
Rambukpotha,0,0
Ranasinghegama,0,0
Randenigodayaya,0,0
Randeniya,0,0
Ranhawadigama,0,0
Ranjallawa,0,0
Ranugalla,0,0
Ranwanguhawa,0,0
Rathamba,0,0
Rathkarawwa,0,0
Rathupasketiya,0,0
Rattanadeniya,0,0
Rattanapitiya,0,0
Rawanaella,0,6
Rendapola,0,0
Rideemaliyadda North,0,0
Rideemaliyadda South,0,0
Rideepana,0,0
Ritigahaarawa,0,0
Ritigahawatta,0,0
Ritikumbura,0,0
Roberiya,0,0
Rotalawela,0,0
Ruhunu Danawwa,0,0
Ruwalwela,0,0
Samagipura,0,0
Samanala Bedda,0,0
Sangabopura,0,0
Sapugolla,0,0
Sapuroda,0,0
Seelathenna,0,0
Seenukkuwa,0,0
Sella Katharagama,0,0
Senanigama,0,2
Senapathiya,0,0
Senevigama,0,0
Senpathigama,0,0
Serana,0,0
Sevanagala,0,0
Silmiyapura,0,0
Sirimalgoda,0,0
Siripura,0,0
Siripuragama,0,0
Sittarama,0,0
Siyambalagunaya,0,0
Siyambalanduwa,0,0
Sooriyaara,0,0
Sooriyagoda,0,0
Sorabora,1,0
Soragune,0,0
Soranathota,0,0
Springvalley,0,0
Springvalley Estate,0,0
Sri Wijithapura,0,0
Sudupanawela,0,0
Sumudugama,0,0
Tenwatta,0,0
Thalagahagedara,0,0
Thalakumbura,0,0
Thalangamuwa,0,0
Thalawagama,0,0
Thaldena,0,0
Thalkotayaya,0,0
Thambana,0,0
Thampalawela,0,0
Thanayamgama,0,0
Thanthiriya,0,0
Thawalampola,0,0
Thelbedda Estate,0,0
Theldeniyaya,0,0
Thelhawadigama,0,0
Thelulla,0,0
Thelulla Colony,1,0
Thenagallanda,0,0
Thennakonwela,0,0
Thennuge,0,0
Therappahuwa,0,0
Therela,0,0
Thetilla,0,0
Thimbiriya,0,0
Thissapura,0,0
Tholabowatta,0,0
Thotalagala,1,0
Thotillaketiya,0,0
Thuppitiya,0,0
Uda Arawa,0,0
Udagama,0,1
Udagama1,0,0
Udagama2,0,0
Udakendagolla,0,0
Udakiruwa,0,0
Udakohovila,1,0
Udamallehewa,0,0
Udapanguwa,0,0
Udaperuwa1,1,0
Udaperuwa2,0,0
Udawela,0,0
Uduhawara,0,0
Udukumbalwela,0,1
Udumulla,0,0
Udupeella,0,0
Uduwara,0,0
Ulhitiya,0,0
Ulugala,0,0
Uma Ela,0,0
Umankandura,0,0
Unagolla,0,0
Unapana,0,0
Unawatuna,0,0
Uraniya,0,0
Uravula,0,0
Usgala,0,0
Ussagala,0,0
Uva Kudaoya,0,0
Uva Mahawela,0,0
Uva Thissapura,0,0
Uvathenna,0,0
Veheragala1,0,0
Veheragala2,0,0
Veherayaya,0,0
Veherayaya Colony,0,0
Vidurupola,0,0
Viharagala,1,0
Viharakele,0,0
Viharamulla,0,0
Vilaoya,0,0
Vineethagama,0,0
Viranegama,0,0
Viyadiguna,0,0
Voldemar,0,0
